environment,condition,metric,source,n_runs,mean,std,min,max,q25,median,q75,mean_normalised,median_normalised,std_normalised
hard,learning,peak_population,gen,100,487.10699999999997,10.851139818172806,464.3,512.5,478.22,488.12,494.565,,,
hard,learning,avg_lifetime,gen,100,1684.0554199999997,31.98587481972994,1616.014,1755.2479999999996,1663.5135,1683.271,1704.2389999999998,,,
hard,learning,cells_visited,behaviour,100,832.7292044579484,16.78920560766202,795.2438801076146,868.208229088611,822.2939184409198,833.937465842964,845.6649720078005,,,
hard,learning,predator_touches,behaviour,100,4.858963077353449,0.24486216059753604,4.321459637733233,5.521065670836077,4.696715070581299,4.876726838357696,5.000793394639482,,,
hard,learning,drained_ticks,behaviour,100,9.967226880902771,0.5554742728442336,8.862477343599778,11.485036468515522,9.619193684137407,9.989221239850611,10.297736374065718,,,
hard,learning,cave_entries,behaviour,100,1.5392177048598006,0.3608313778248303,0.4637782955296897,2.5350146289914597,1.3244498560935751,1.527461111469561,1.7898777312609593,,,
hard,learning,cave_entries_night,behaviour,100,0.7919134032069973,0.1843931107963981,0.2397753611481015,1.3055603164806933,0.6797427817606992,0.779638668922075,0.91822754897837,,,
hard,learning,food_prestige,behaviour,100,1.594208113244992,0.030499980525206655,1.497957392961507,1.6622414368439982,1.5755786491273336,1.5943952175072114,1.6122234898861436,,,
hard,learning,food_low,behaviour,100,2.8322529964950047,0.1115121114678432,2.595633085620246,2.9920393548360833,2.7280733875781635,2.8715075889524964,2.9261067954292974,,,
hard,learning,energy_at_death,behaviour,100,1.3935444854604604,0.3780218436756922,0.4911070287327398,2.546356201431925,1.1600604515129238,1.3944338903831883,1.566149745303619,,,
hard,learning,frac_death_drained,behaviour,100,0.4292190595634262,0.022542818900047067,0.3781610019724474,0.4916957729848649,0.4142860783451142,0.4291386621989689,0.4426454862815595,,,
hard,learning,frac_death_starved,behaviour,100,0.5419460275150678,0.02067491049712642,0.484783315305252,0.5892678315267126,0.5291377713768683,0.5417031634514049,0.5551530815340089,,,
