panel,fraction,seed,rep,run,n_gens,avg_fitness
0.10,0.3,1,5,roam60d5_10r_evo_cull0.3_rec0.10_seed1_r5,1000,3.9233180000000005
0.10,0.3,1,6,roam60d5_10r_evo_cull0.3_rec0.10_seed1_r6,1000,7.189348
0.10,0.3,1,7,roam60d5_10r_evo_cull0.3_rec0.10_seed1_r7,1000,7.039772
0.10,0.3,1,8,roam60d5_10r_evo_cull0.3_rec0.10_seed1_r8,1000,7.1667320000000005
0.10,0.3,1,9,roam60d5_10r_evo_cull0.3_rec0.10_seed1_r9,1000,4.3011800000000004
0.10,0.3,1,10,roam60d5_10r_evo_cull0.3_rec0.10_seed1_r10,1000,7.191610000000001
0.10,0.3,42,1,roam60d5_10r_evo_cull0.3_rec0.10_seed42_r1,1000,3.6258600000000003
0.10,0.3,42,2,roam60d5_10r_evo_cull0.3_rec0.10_seed42_r2,1000,7.270996
0.10,0.3,42,3,roam60d5_10r_evo_cull0.3_rec0.10_seed42_r3,1000,6.501928
0.10,0.3,42,4,roam60d5_10r_evo_cull0.3_rec0.10_seed42_r4,1000,3.9004220000000003
0.10,0.3,42,5,roam60d5_10r_evo_cull0.3_rec0.10_seed42_r5,1000,3.621458
0.10,0.3,42,6,roam60d5_10r_evo_cull0.3_rec0.10_seed42_r6,1000,7.166378000000001
0.10,0.3,42,7,roam60d5_10r_evo_cull0.3_rec0.10_seed42_r7,1000,3.6733300000000004
0.10,0.3,42,8,roam60d5_10r_evo_cull0.3_rec0.10_seed42_r8,1000,5.997336000000001
0.10,0.3,42,9,roam60d5_10r_evo_cull0.3_rec0.10_seed42_r9,1000,7.24423
0.10,0.3,42,10,roam60d5_10r_evo_cull0.3_rec0.10_seed42_r10,1000,7.1507760000000005
0.10,0.3,999,1,roam60d5_10r_evo_cull0.3_rec0.10_seed999_r1,1000,3.659844
0.10,0.3,999,2,roam60d5_10r_evo_cull0.3_rec0.10_seed999_r2,1000,3.864644
0.10,0.3,999,3,roam60d5_10r_evo_cull0.3_rec0.10_seed999_r3,1000,3.6741139999999994
0.10,0.3,999,4,roam60d5_10r_evo_cull0.3_rec0.10_seed999_r4,1000,3.7934520000000007
0.10,0.3,999,5,roam60d5_10r_evo_cull0.3_rec0.10_seed999_r5,1000,7.182414
0.10,0.3,999,6,roam60d5_10r_evo_cull0.3_rec0.10_seed999_r6,1000,6.933626
0.10,0.3,999,7,roam60d5_10r_evo_cull0.3_rec0.10_seed999_r7,1000,7.126397999999999
0.10,0.3,999,8,roam60d5_10r_evo_cull0.3_rec0.10_seed999_r8,1000,7.079806
0.10,0.3,999,9,roam60d5_10r_evo_cull0.3_rec0.10_seed999_r9,1000,3.7352800000000004
0.10,0.3,999,10,roam60d5_10r_evo_cull0.3_rec0.10_seed999_r10,1000,5.520417999999999
0.10,0.4,1,1,roam60d5_10r_evo_cull0.4_rec0.10_seed1_r1,1000,3.4747839999999997
0.10,0.4,1,2,roam60d5_10r_evo_cull0.4_rec0.10_seed1_r2,1000,7.136958
0.10,0.4,1,3,roam60d5_10r_evo_cull0.4_rec0.10_seed1_r3,1000,3.4913659999999993
0.10,0.4,1,4,roam60d5_10r_evo_cull0.4_rec0.10_seed1_r4,1000,7.207095999999999
0.10,0.4,1,5,roam60d5_10r_evo_cull0.4_rec0.10_seed1_r5,1000,5.41282
0.10,0.4,1,6,roam60d5_10r_evo_cull0.4_rec0.10_seed1_r6,1000,3.8223519999999995
0.10,0.4,1,7,roam60d5_10r_evo_cull0.4_rec0.10_seed1_r7,1000,3.4434839999999998
0.10,0.4,1,8,roam60d5_10r_evo_cull0.4_rec0.10_seed1_r8,1000,3.4975860000000005
0.10,0.4,1,9,roam60d5_10r_evo_cull0.4_rec0.10_seed1_r9,1000,6.1123280000000015
0.10,0.4,1,10,roam60d5_10r_evo_cull0.4_rec0.10_seed1_r10,1000,3.8972200000000004
0.10,0.4,42,1,roam60d5_10r_evo_cull0.4_rec0.10_seed42_r1,1000,5.027448
0.10,0.4,42,2,roam60d5_10r_evo_cull0.4_rec0.10_seed42_r2,1000,7.1179
0.10,0.4,42,3,roam60d5_10r_evo_cull0.4_rec0.10_seed42_r3,1000,3.6547899999999998
