timestamp_ms,source,message,data
2837417,GA,Gen 125 started | 100 founders | RL=true,
2850422,GA,Gen 125 -> starting Map 2/5,
2855669,GA,Gen 125 -> starting Map 3/5,
2857222,GA,Gen 125 -> starting Map 4/5,
2858908,GA,Gen 125 -> starting Map 5/5,
2860380,GA,Gen 124 | 393 agents | tournament k=2 → 100 offspring,
2860407,GA,Gen 126 started | 100 founders | RL=true,
2870496,GA,Gen 126 -> starting Map 2/5,
2882127,GA,Gen 126 -> starting Map 3/5,
2887512,GA,Gen 126 -> starting Map 4/5,
2889013,GA,Gen 126 -> starting Map 5/5,
2890192,GA,Gen 125 | 493 agents | tournament k=2 → 100 offspring,
2890218,GA,Gen 127 started | 100 founders | RL=true,
2904400,GA,Gen 127 -> starting Map 2/5,
2918391,GA,Gen 127 -> starting Map 3/5,
2926263,GA,Gen 127 -> starting Map 4/5,
2929915,GA,Gen 127 -> starting Map 5/5,
2931060,GA,Gen 126 | 697 agents | tournament k=2 → 100 offspring,
2931086,GA,Gen 128 started | 100 founders | RL=true,
2943585,GA,Gen 128 -> starting Map 2/5,
2948703,GA,Gen 128 -> starting Map 3/5,
2950855,GA,Gen 128 -> starting Map 4/5,
2952601,GA,Gen 128 -> starting Map 5/5,
2954074,GA,Gen 127 | 389 agents | tournament k=2 → 100 offspring,
2954102,GA,Gen 129 started | 100 founders | RL=true,
2964096,GA,Gen 129 -> starting Map 2/5,
2974472,GA,Gen 129 -> starting Map 3/5,
2979973,GA,Gen 129 -> starting Map 4/5,
2981422,GA,Gen 129 -> starting Map 5/5,
2982277,GA,Gen 128 | 472 agents | tournament k=2 → 100 offspring,
2982301,GA,Gen 130 started | 100 founders | RL=true,
2995834,GA,Gen 130 -> starting Map 2/5,
3008687,GA,Gen 130 -> starting Map 3/5,
3015236,GA,Gen 130 -> starting Map 4/5,
3018226,GA,Gen 130 -> starting Map 5/5,
3019541,GA,Gen 129 | 633 agents | tournament k=2 → 100 offspring,
3019568,GA,Gen 131 started | 100 founders | RL=true,
3033672,GA,Gen 131 -> starting Map 2/5,
3040087,GA,Gen 131 -> starting Map 3/5,
3042874,GA,Gen 131 -> starting Map 4/5,
3044459,GA,Gen 131 -> starting Map 5/5,
3045507,GA,Gen 130 | 440 agents | tournament k=2 → 100 offspring,
3045533,GA,Gen 132 started | 100 founders | RL=true,
