id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p23_18_r2_on,1,2,2000,7.879700,7.034899,100,771.46,0.0800,32.5000,12.1500,1,9,90,0
p23_19_r2_on,1,2,2000,7.919500,6.830076,100,908.91,0.0800,28.5400,11.5700,8,7,85,0
p23_20_r2_on,1,2,2000,8.069200,6.897820,100,885.66,0.0800,30.2700,12.8000,0,6,94,0
p23_21_r2_on,1,2,2000,7.925000,7.220641,100,809.04,0.0700,31.1400,12.5700,0,8,92,0
p23_22_r2_on,1,2,2000,7.709600,6.914862,100,889.52,0.1000,30.2600,11.9800,1,13,86,0
p23_23_r2_on,1,2,2000,8.154600,6.906775,100,755.59,0.0800,32.8000,12.2500,1,6,93,0
p23_24_r2_on,1,2,2000,7.934600,6.640319,100,987.01,0.1000,27.8400,9.9800,14,14,72,0
p24_0_r2_on,1,2,2000,6.484000,7.116163,100,851.86,0.0400,31.5800,12.4900,0,8,92,0
p24_1_r2_on,1,2,2000,6.629500,7.130903,100,1119.22,0.0700,24.3600,9.0600,13,11,76,0
p24_2_r2_on,1,2,2000,7.199800,7.143656,100,847.79,0.0500,29.5900,11.0900,0,6,94,0
p24_3_r2_on,1,2,2000,6.655100,6.999703,100,1084.73,0.0200,24.3600,8.6100,6,14,80,0
p24_4_r2_on,1,2,2000,7.219600,7.098744,100,822.49,0.0500,31.7600,12.2800,0,9,91,0
p24_5_r2_on,1,2,2000,7.459800,6.552382,100,780.42,0.0500,32.1700,11.7100,0,8,92,0
p24_6_r2_on,1,2,2000,7.549800,7.716021,100,849.34,0.0300,29.5300,10.1700,3,12,85,0
p24_7_r2_on,1,2,2000,7.229600,7.128624,100,704.44,0.0600,33.4200,12.2100,0,7,93,0
p24_8_r2_on,1,2,2000,6.845300,7.126469,100,991.09,0.0900,27.4100,12.0100,1,7,92,0
p24_9_r2_on,1,2,2000,7.784600,7.008903,100,814.72,0.0300,31.8900,11.9100,1,11,88,0
p24_10_r2_on,1,2,2000,7.639500,7.325887,100,1012.94,0.0700,27.6200,10.8200,0,5,95,0
p24_11_r2_on,1,2,2000,7.854500,7.341667,100,896.08,0.0400,30.0800,12.9000,5,13,82,0
p24_12_r2_on,1,2,2000,7.884600,6.991569,100,721.84,0.0600,33.8100,12.5000,0,5,95,0
p24_13_r2_on,1,2,2000,7.704700,6.610730,100,774.11,0.0400,32.3800,12.7700,0,8,92,0
p24_14_r2_on,1,2,2000,8.144900,7.611114,100,701.84,0.0900,34.0200,14.2200,0,9,91,0
p24_15_r2_on,1,2,2000,7.929700,7.003148,100,1074.88,0.0500,25.8300,9.2100,1,5,94,0
p24_16_r2_on,1,2,2000,7.909700,6.101933,100,776.90,0.0400,32.0100,13.3000,3,4,93,0
p24_17_r2_on,1,2,2000,7.939700,6.144608,100,1062.38,0.1400,24.9100,9.4100,21,5,74,0
p24_18_r2_on,1,2,2000,8.104700,7.287343,100,1068.20,0.0700,25.9000,10.0600,0,16,84,0
p24_19_r2_on,1,2,2000,7.754700,7.833395,100,898.21,0.0800,29.8900,11.6300,0,7,93,0
p24_20_r2_on,1,2,2000,8.189200,7.195473,100,938.58,0.0700,29.6600,12.1900,1,7,92,0
p24_21_r2_on,1,2,2000,7.669200,6.993712,100,738.29,0.0700,30.9500,10.5500,0,7,93,0
p24_22_r2_on,1,2,2000,7.974400,7.012545,100,685.12,0.1200,33.3800,10.1700,0,2,98,0
p24_23_r2_on,1,2,2000,7.709700,7.030239,100,768.58,0.0600,31.8400,11.6300,1,5,94,0
p24_24_r2_on,1,2,2000,7.999600,7.225011,100,933.56,0.0700,29.1400,11.1100,0,6,94,0
